confidence_level,status,objective,pg_bus_1,pg_bus_3,pg_bus_6,pg_bus_2,pg_bus_8
0.1,feasible,7642.59182158622,3.61960921440392e-8,3.8661457543687997e-7,0.3803229829153641,6.323358966704804e-8,2.2096765302223296
0.2,feasible,7642.59182158622,3.61960921440392e-8,3.8661457543687997e-7,0.3803229829153641,6.323358966704804e-8,2.2096765302223296
0.3,feasible,7642.59182158622,3.61960921440392e-8,3.8661457543687997e-7,0.3803229829153641,6.323358966704804e-8,2.2096765302223296
0.4,feasible,7642.59182158622,3.61960921440392e-8,3.8661457543687997e-7,0.3803229829153641,6.323358966704804e-8,2.2096765302223296
0.5,feasible,7642.59182158622,3.61960921440392e-8,3.8661457543687997e-7,0.3803229829153641,6.323358966704804e-8,2.2096765302223296
0.6,feasible,7642.59182158622,3.61960921440392e-8,3.8661457543687997e-7,0.3803229829153641,6.323358966704804e-8,2.2096765302223296
0.7,feasible,7642.59182158622,3.61960921440392e-8,3.8661457543687997e-7,0.3803229829153641,6.323358966704804e-8,2.2096765302223296
0.8,feasible,7642.59182158622,3.61960921440392e-8,3.8661457543687997e-7,0.3803229829153641,6.323358966704804e-8,2.2096765302223296
0.9,feasible,7642.59182158622,3.61960921440392e-8,3.8661457543687997e-7,0.3803229829153641,6.323358966704804e-8,2.2096765302223296
0.95,feasible,7642.59182158622,3.61960921440392e-8,3.8661457543687997e-7,0.3803229829153641,6.323358966704804e-8,2.2096765302223296
0.975,feasible,7642.59182158622,3.61960921440392e-8,3.8661457543687997e-7,0.3803229829153641,6.323358966704804e-8,2.2096765302223296
0.99,feasible,7642.59182158622,3.61960921440392e-8,3.8661457543687997e-7,0.3803229829153641,6.323358966704804e-8,2.2096765302223296
